Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.17,-0.24,-0.09,-0.16,-0.1,-0.21,-0.18,-0.09,-0.14,-0.23,-0.21,-0.17
1881,-0.19,-0.13,0.04,0.06,0.07,-0.18,0.01,-0.03,-0.15,-0.21,-0.18,-0.06
1882,0.17,0.15,0.05,-0.16,-0.14,-0.22,-0.15,-0.06,-0.14,-0.24,-0.16,-0.35
1883,-0.28,-0.36,-0.12,-0.18,-0.18,-0.07,-0.07,-0.13,-0.21,-0.11,-0.24,-0.11
1884,-0.13,-0.08,-0.36,-0.4,-0.34,-0.34,-0.33,-0.27,-0.27,-0.25,-0.33,-0.3
1885,-0.58,-0.33,-0.26,-0.41,-0.45,-0.43,-0.33,-0.3,-0.28,-0.23,-0.23,-0.09
1886,-0.43,-0.5,-0.43,-0.28,-0.24,-0.34,-0.17,-0.3,-0.24,-0.27,-0.27,-0.24
1887,-0.71,-0.56,-0.35,-0.34,-0.3,-0.24,-0.25,-0.34,-0.25,-0.35,-0.25,-0.33
1888,-0.33,-0.35,-0.4,-0.2,-0.22,-0.17,-0.1,-0.15,-0.12,0.02,0.04,-0.04
1889,-0.08,0.17,0.06,0.1,-0.01,-0.1,-0.07,-0.2,-0.24,-0.26,-0.34,-0.29
1890,-0.42,-0.46,-0.4,-0.3,-0.4,-0.25,-0.28,-0.39,-0.37,-0.25,-0.44,-0.31
1900,-0.36,-0.05,0.01,-0.09,-0.09,-0.1,-0.13,-0.09,-0.06,0.09,-0.07,-0.07
1950,-0.26,-0.27,-0.08,-0.21,-0.11,-0.05,-0.09,-0.16,-0.12,-0.21,-0.34,-0.21
1951,-0.34,-0.41,-0.2,-0.14,-0.01,-0.07,-0.01,0.06,0.05,0.08,-0.01,0.15
1952,0.11,0.11,-0.08,0.03,-0.03,-0.03,0.04,0.05,0.07,0,-0.13,-0.02
1953,0.07,0.15,0.11,0.19,0.11,0.11,0.01,0.05,0.04,0.07,-0.03,0.05
1954,-0.24,-0.1,-0.15,-0.14,-0.2,-0.19,-0.19,-0.17,-0.1,-0.02,0.08,-0.18
1955,0.13,-0.16,-0.32,-0.22,-0.2,-0.14,-0.12,0.02,-0.11,-0.06,-0.25,-0.28
1956,-0.13,-0.24,-0.21,-0.28,-0.29,-0.16,-0.09,-0.26,-0.19,-0.23,-0.15,-0.06
1957,-0.09,-0.03,-0.04,0.01,0.09,0.16,0.03,0.13,0.08,0,0.07,0.15
1958,0.39,0.21,0.09,0.01,0.05,-0.07,0.06,-0.03,-0.02,0.04,0.02,0.01
1959,0.08,0.07,0.17,0.14,0.05,0.03,0.03,0,-0.06,-0.06,-0.08,0
1960,0,0.14,-0.34,-0.15,-0.07,-0.05,-0.04,0.03,0.06,0.05,-0.11,0.19
2008,0.3,0.38,0.74,0.54,0.49,0.49,0.61,0.48,0.61,0.65,0.69,0.54
2009,0.65,0.54,0.54,0.6,0.66,0.65,0.71,0.68,0.72,0.66,0.8,0.67
2010,0.75,0.84,0.92,0.84,0.76,0.68,0.64,0.66,0.63,0.71,0.82,0.45
2011,0.52,0.48,0.65,0.65,0.52,0.61,0.7,0.73,0.58,0.66,0.59,0.6
2012,0.49,0.49,0.57,0.71,0.77,0.65,0.58,0.64,0.72,0.79,0.79,0.53
2013,0.71,0.63,0.67,0.56,0.62,0.71,0.62,0.7,0.78,0.7,0.85,0.7
2014,0.76,0.56,0.79,0.81,0.85,0.67,0.59,0.82,0.85,0.8,0.67,0.8
2015,0.86,0.9,0.96,0.77,0.79,0.82,0.75,0.82,0.84,1.09,1.06,1.16
2016,1.17,1.37,1.36,1.12,0.96,0.82,0.85,1.02,0.92,0.88,0.91,0.86
2017,1.03,1.14,1.16,0.94,0.9,0.72,0.82,0.87,0.79,0.9,0.89,0.95
2018,0.83,0.85,0.9,0.9,0.82,0.78,0.82,0.77,0.8,1,0.83,0.92
